Disapproval_1,Neutral_1,Approval_1,Disapproval_2,Neutral_2,Approval_2
0,0,1,0,0,1
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,0,1,0
0,0,1,0,0,1
0,1,0,0,1,0
0,0,1,0,0,1
0,0,1,0,0,1
1,0,0,1,0,0
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,0,1,0
1,0,0,0,0,1
1,0,0,1,0,0
0,1,0,0,0,1
0,0,1,0,0,1
0,0,1,0,0,1
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,0,0,1
1,0,0,1,0,0
0,0,1,0,0,1
0,1,0,0,1,0
0,0,1,0,0,1
0,1,0,0,1,0
0,0,1,0,0,1
0,1,0,0,0,1
0,1,0,0,1,0
0,1,0,0,0,1
0,1,0,0,1,0
1,0,0,1,0,0
0,1,0,0,1,0
0,0,1,0,0,1
0,1,0,0,1,0
0,1,0,0,0,1
0,0,1,0,0,1
0,0,1,0,0,1
0,1,0,0,1,0
1,0,0,1,0,0
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,0,1,0
0,0,1,0,0,1
0,1,0,0,1,0
1,0,0,1,0,0
0,0,1,0,0,1
0,1,0,0,1,0
0,1,0,0,1,0
1,0,0,0,0,1
0,0,1,0,0,1
0,1,0,0,1,0
0,0,1,0,0,1
0,1,0,0,1,0
0,0,1,0,0,1
0,0,1,0,0,1
0,0,1,0,0,1
0,0,1,0,0,1
0,0,1,0,0,1
0,0,1,0,0,1
0,1,0,0,1,0
0,1,0,0,1,0
0,0,1,0,0,1
0,1,0,0,1,0
0,0,1,0,0,1
0,1,0,0,1,0
0,0,1,0,0,1
0,1,0,0,1,0
0,1,0,0,1,0
0,0,1,0,0,1
0,1,0,0,1,0
1,0,0,1,0,0
0,1,0,0,1,0
0,0,1,0,0,1
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,0,1,0
0,0,1,0,0,1
0,0,1,0,0,1